Level;Number;Name;BARC_SPC_CATEGORY;BARC_SPC_GROUP_CLASS0;BARC_SPC_GROUP_CLASS1;BARC_SPC_KEY;Area;IES_AREA;Volume;IES_OCCUPATION_REAL;IES_OCCUPATION_DESIGN;IES_PROFILE;BARC_REF_ACTIVITY_PEOPLE_SENSIBLE;BARC_REF_ACTIVITY_PEOPLE_LATENT;IES_LIGHT_DENSITY;IES_ILLUMINANCE;BARC_EA_PLUG_EQUIP1_PERAREA;BARC_EA_PLUG_EQUIP1_PERPERSON;BARC_EA_PLUG_EQUIP1_PERROOM;IES_PLUG_TOTAL;IES_PLUG_TOTAL_DENSITY;IES_INT_GAINS_TOTAL_DENSITY;IES_VENTILATION_TYPE;BARC_VENT_SUPPLY_DESIGN;Condition Type;BARC_SPC_HEAT_TEMP_SETPOINT;BARC_SPC_CLG_TEMP_SETPOINT;IES_COMF_RH_MIN;IES_COMF_RH_MAX;IES_HEAT_POWER_DENSITY;IES_COOL_POWER_DENSITY;
04;04.08.03;Lokaal 2;EDUCATIONAL;04;EDU;[EDU] Communicatie;13.6;0.0;44.8;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;2.20929469240208;24.7790048854177;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.08.05;Lokaal 4;EDUCATIONAL;04;EDU;[EDU] Communicatie;13.6;0.0;44.9;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;2.20566393504641;24.7481434478945;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.08.07;Lokaal 6;EDUCATIONAL;04;EDU;[EDU] Communicatie;13.6;0.0;44.8;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;2.21010325799168;24.7858776929293;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.08.09;Lokaal 8;EDUCATIONAL;04;EDU;[EDU] Communicatie;13.2;0.0;43.7;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;2.2667955932315;25.2677625424678;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.08.11;Lokaal 10;EDUCATIONAL;04;EDU;[EDU] Communicatie;13.7;0.0;45.3;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;2.18381653605601;24.5624405564761;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.08.01;Observatieruimte;EDUCATIONAL;04;EDU;[EDU] Communicatie;45.4;0.0;149.7;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;0.661348280865421;11.6214603873561;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.08.02;Lokaal 1;EDUCATIONAL;04;EDU;[EDU] Communicatie;13.5;0.0;44.6;3;3;[Education] Training Room;75;40;6;300;0;10;0;30;2.21874339096483;24.8593188232011;0;120;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.03;Debriefing lokaal 3;EDUCATIONAL;04;EDU;[EDU] Communicatie;21.9;0.0;72.2;12;12;[Education] Training Room;75;40;6;300;0;10;0;120;5.48567667129337;52.6282517059936;0;480;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.06;Debriefing lokaal 6;EDUCATIONAL;04;EDU;[EDU] Communicatie;22.7;0.0;75.0;12;12;[Education] Training Room;75;40;6;300;0;10;0;120;5.27991235345491;50.8792550043668;0;480;HeatedAndCooled;21.0;25.0;0;0;0;0
04;04.51;Centrale ruimte;EDUCATIONAL;04;EDU;[EDU] Circulation;223.3;0.0;736.7;0;0;[Education] Training Room;75;40;2;100;1;0;0;223.25157;1;3;0;0;Heated;18.0;28.0;0;0;0;0
05;05.07;Blassondage + wondzorg;EDUCATIONAL;05;EDU;[EDU] Technische vaardigheden;71.2;0.0;234.9;30;30;[Education] Training Room;75;40;10;500;0;15;0;450;6.32115691218503;47.9269414731102;0;1200;HeatedAndCooled;21.0;25.0;0;0;0;0
05;05.03;Practicum klein;EDUCATIONAL;05;EDU;[EDU] Technische vaardigheden;23.4;0.0;77.1;5;5;[Education] Training Room;75;40;10;500;0;15;0;75;3.21130378933847;29.2678227360308;0;200;HeatedAndCooled;21.0;25.0;0;0;0;0
05;05.01;Steriliteit;EDUCATIONAL;05;EDU;[EDU] Technische vaardigheden;45.0;0.0;148.5;20;20;[Education] Training Room;75;40;10;500;0;15;0;300;6.66488936384214;49.9893361830528;0;800;HeatedAndCooled;21.0;25.0;0;0;0;0
06;06.51;Centrale ruimte;EDUCATIONAL;06;EDU;[EDU] Circulation;159.5;0.0;526.5;0;0;[Education] Training Room;75;40;2;100;1;0;0;159.53133;1.00000001791076;3.00000001791076;0;0;Heated;18.0;28.0;0;0;0;0
