,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
877,0,5679,0,0
878,0,4140,0,0
879,0,3062,0,0
880,0,7413,0,0
881,0,18167,0,0
882,0,24494,0,0
883,0,27053,0,0
884,0,27472,0,0
885,0,28016,0,0
886,0,28033,0,0
887,0,27185,0,0
888,0,27002,0,0
889,0,27177,0,0
890,0,29873,0,0
891,0,32837,0,0
892,0,34531,0,0
893,0,37090,0,0
894,0,40533,0,0
895,0,43545,0,0
896,0,43447,0,0
897,0,42238,0,0
898,0,38925,0,0
899,0,36641,0,0
900,0,34024,0,0
901,0,27818,0,0
902,0,27505,0,0
903,0,35619,0,0
904,0,42973,0,0
905,0,47410,0,0
906,0,50526,0,0
907,0,52251,0,0
908,0,52787,0,0
909,0,52985,0,0
910,0,53122,0,0
911,0,53475,0,0
912,0,53557,0,0
913,0,53330,0,0
914,0,52768,0,0
915,0,52618,0,0
916,0,52967,0,0
917,0,53633,0,0
918,0,54633,0,0
919,0,204904,0,0
920,0,64056,0,9
921,0,23663,0,4901
922,104,10272,0,28817
923,656,4241,0,33756
924,4026,4297,0,26116
925,2081,5643,0,20851
926,5488,3921,0,23181
927,3766,4633,0,27900
928,0,7685,0,27953
929,0,20679,0,15794
930,0,54375,0,5873
931,0,494,0,757
932,0,9086,0,28
933,0,27949,0,13
934,0,35061,0,8
935,0,38185,0,5
936,0,41341,0,3
937,0,43720,0,2
938,0,44982,0,1
939,0,45186,0,1
940,0,45633,0,0
941,0,46238,0,0
942,0,49160,0,0
943,0,200675,0,0
944,0,58116,0,12
945,0,21023,0,10016
946,6,15468,0,33065
947,303,10238,0,36716
948,0,7421,0,28968
949,0,11663,0,23585
950,0,5323,0,25871
951,1342,3918,0,27774
952,0,5815,0,26874
953,0,17078,0,16230
954,0,51664,0,6043
955,0,513,0,765
956,0,7949,0,27
957,0,26267,0,13
958,0,33351,0,8
959,0,35485,0,5
960,0,37460,0,3
961,0,39656,0,2
962,0,42869,0,1
963,0,45560,0,1
964,0,46891,0,0
965,0,50073,0,0
966,0,51955,0,0
967,0,199623,0,0
968,0,58266,0,12
969,0,21167,0,9775
970,8,15062,0,32367
971,408,9267,0,36052
972,0,4533,0,27977
973,0,5688,0,21947
974,2529,3210,0,23003
975,2802,3044,0,26081
976,0,5602,0,26126
977,0,14643,0,15423
978,0,46868,0,5975
979,0,563,0,824
980,0,9201,0,30
981,0,26584,0,14
982,0,33698,0,9
983,0,39383,0,6
984,0,43360,0,4
985,0,45309,0,2
986,0,46412,0,2
987,0,47504,0,1
988,0,46811,0,1
989,0,45575,0,0
990,0,45922,0,0
991,0,196211,0,0
992,0,51853,0,11
993,0,12728,0,9510
994,286,4782,0,31076
995,4346,2948,0,33080
996,8869,3169,0,26016
997,3627,4310,0,21187
998,6761,2518,0,23421
999,5706,2232,0,27094
1000,38,4524,0,27420
1001,0,12435,0,16814
1002,0,42056,0,6382
1003,0,457,0,824
1004,0,5853,0,30
1005,0,24568,0,15
1006,0,34154,0,10
1007,0,37941,0,6
1008,0,42021,0,4
1009,0,45155,0,3
1010,0,47240,0,2
1011,0,49734,0,1
1012,0,50750,0,1
1013,0,51854,0,0
1014,0,54021,0,0
1015,0,206589,0,0
1016,0,68039,0,16
1017,0,15395,0,13501
1018,369,6268,0,42678
1019,8707,3845,0,44599
1020,12731,4280,0,33506
1021,7516,5133,0,26174
1022,14676,2660,0,26992
1023,13615,1731,0,29809
1024,3645,2778,0,30777
1025,0,10358,0,18748
1026,0,41673,0,7297
1027,0,706,0,1029
1028,0,11307,0,36
1029,0,30891,0,17
1030,0,39605,0,11
1031,0,43669,0,7
1032,0,46011,0,5
1033,0,49105,0,3
1034,0,51900,0,2
1035,0,54618,0,1
1036,0,57775,0,1
1037,0,59113,0,0
1038,0,59440,0,0
1039,0,61418,0,0
1040,0,58319,0,0
1041,0,34169,0,0
1042,0,21109,0,0
1043,0,12704,0,0
1044,0,10028,0,0
1045,0,8804,0,0
1046,0,8232,0,0
1047,0,7708,0,0
1048,0,10329,0,0
1049,0,20511,0,0
1050,0,36920,0,0
1051,0,46078,0,0
1052,0,50412,0,0
1053,0,52676,0,0
1054,0,54554,0,0
1055,0,56360,0,0
1056,0,58773,0,0
1057,0,59625,0,0
1058,0,60588,0,0
1059,0,62217,0,0
1060,0,64575,0,0
1061,0,65917,0,0
1062,0,66806,0,0
1063,0,67779,0,0
1064,0,62000,0,0
1065,0,36786,0,0
1066,0,20446,0,0
1067,0,9019,0,0
1068,0,5693,0,0
1069,0,3951,0,0
1070,0,3380,0,0
1071,0,5792,0,0
1072,0,13358,0,0
1073,0,24540,0,0
1074,0,41674,0,0
1075,0,44873,0,0
1076,0,45474,0,0
1077,0,45799,0,0
1078,0,48293,0,0
1079,0,51386,0,0
1080,0,52118,0,0
1081,0,52264,0,0
1082,0,52194,0,0
1083,0,52002,0,0
1084,0,52018,0,0
1085,0,52001,0,0
1086,0,52225,0,0
1087,0,202995,0,0
1088,0,61575,0,8
1089,0,23559,0,4267
1090,0,17430,0,26182
1091,93,13355,0,32065
1092,0,11309,0,25714
1093,0,17584,0,21143
1094,0,11175,0,23395
1095,0,9194,0,26790
1096,0,11711,0,26748
1097,0,24480,0,15432
1098,0,64739,0,5641
1099,0,487,0,739
1100,0,8557,0,26
1101,0,27256,0,12
1102,0,33802,0,8
1103,0,36651,0,5
1104,0,37964,0,3
1105,0,37688,0,2
1106,0,37867,0,1
1107,0,38568,0,1
1108,0,39090,0,0
1109,0,39114,0,0
1110,0,38545,0,0
1111,0,189916,0,0
1112,0,45604,0,7
1113,0,16622,0,6258
1114,118,6160,0,19532
1115,668,2542,0,20089
1116,7885,2019,0,15363
1117,4367,3515,0,12668
1118,13826,2027,0,14253
1119,17361,1328,0,16979
1120,6585,2349,0,17597
1121,0,9122,0,10702
1122,0,30083,0,4118
1123,0,118,0,521
1124,0,1007,0,18
1125,0,6468,0,9
1126,0,13505,0,5
1127,0,18741,0,3
1128,0,21789,0,2
1129,0,23559,0,1
1130,0,25198,0,1
1131,0,26271,0,1
1132,0,27161,0,0
1133,0,32313,0,0
1134,0,39165,0,0
1135,0,191709,0,0
1136,0,48274,0,10
1137,0,16884,0,8394
1138,29,9998,0,27735
1139,396,6429,0,32779
1140,0,6304,0,27006
1141,0,7735,0,21347
1142,672,3489,0,22665
1143,3675,3576,0,26933
1144,0,6432,0,27637
1145,0,14250,0,15491
1146,0,43566,0,5567
1147,0,338,0,689
1148,0,2865,0,23
1149,0,14650,0,11
1150,0,21840,0,7
1151,0,25231,0,4
1152,0,27818,0,3
1153,0,29470,0,2
1154,0,30646,0,1
1155,0,31205,0,1
1156,0,31495,0,0
1157,0,31820,0,0
1158,0,32350,0,0
1159,0,184285,0,0
1160,0,39838,0,9
1161,0,13572,0,7245
1162,55,6769,0,22606
1163,497,4468,0,23040
1164,0,4068,0,16865
1165,0,6711,0,13333
1166,711,4149,0,14821
1167,4038,3754,0,16966
1168,754,4755,0,16934
1169,0,10337,0,9637
1170,0,27809,0,3350
1171,0,25,0,402
1172,0,415,0,14
1173,0,1426,0,6
1174,0,4543,0,4
1175,0,8326,0,3
1176,0,11610,0,2
1177,0,13748,0,1
1178,0,15060,0,1
1179,0,15603,0,0
1180,0,16269,0,0
1181,0,16795,0,0
1182,0,16990,0,0
1183,0,166272,0,0
1184,0,27053,0,5
1185,0,8298,0,4102
1186,84,4888,0,13175
1187,626,2726,0,13756
1188,3708,2240,0,10505
1189,103,4468,0,8571
1190,8090,2669,0,9157
1191,11909,2113,0,10342
1192,5625,2903,0,10232
1193,0,6937,0,5709
1194,0,18437,0,2039
1195,0,0,0,253
1196,0,79,0,9
1197,0,405,0,4
1198,0,652,0,3
1199,0,1409,0,2
1200,0,2667,0,1
1201,0,5221,0,1
1202,0,7515,0,1
1203,0,10413,0,0
1204,0,12335,0,0
1205,0,14261,0,0
1206,0,16346,0,0
1207,0,18107,0,0
1208,0,16809,0,0
1209,0,8345,0,0
