,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
8556,1578,1578,19565,22113,41678,0,1797
8557,1600,1600,18983,21992,40976,0,1800
8558,1623,1623,17920,21874,39795,0,1804
8559,1646,1646,16588,21761,38349,0,1805
8560,1670,1670,17085,21652,38737,0,1804
8561,1694,1694,17475,21552,39027,0,1803
8562,1717,1717,12871,21458,34329,0,1947
8563,1740,1740,12620,21369,33990,0,1946
8564,1762,1762,9594,21288,30883,0,1945
8565,1783,1783,23087,21212,44300,0,1943
8566,1804,1804,24224,21138,45363,0,1943
8567,1824,1824,24117,21068,45185,0,1943
8568,1841,1841,25190,21646,46836,0,1943
8569,1857,1857,25512,21498,47010,0,1944
8570,1870,1870,25862,21410,47273,0,1944
8571,1881,1881,25947,21336,47283,0,1941
8572,1891,1891,26092,21267,47360,0,1937
8573,1899,1899,26131,21208,47340,0,1934
8574,1905,1905,26315,21153,47468,0,1935
8575,1910,1910,11440,21101,32542,0,1939
8576,1914,1914,8856,21054,29911,0,1790
8577,1917,1917,14328,21006,35335,0,1790
8578,1922,1922,13975,20950,34926,0,1792
8579,1928,1928,13519,20885,34405,0,1797
8580,1937,1937,18700,20817,39518,0,1801
8581,1947,1947,18190,20747,38937,0,1805
8582,1959,1959,17535,20675,38211,0,1807
8583,1972,1972,16699,20604,37304,0,1808
8584,1986,1986,17390,20539,37929,0,1808
8585,2000,2000,17313,20477,37790,0,1808
8586,2014,2014,11784,20420,32204,0,1954
8587,2027,2027,10275,20361,30636,0,1956
8588,2041,2041,7410,20310,27720,0,1958
8589,2054,2054,18229,20257,38486,0,1958
8590,2067,2067,19398,20204,39602,0,1958
8591,2079,2079,19279,20151,39431,0,1958
8592,2089,2089,20238,19480,39719,0,1958
8593,2098,2098,20608,19517,40125,0,1961
8594,2105,2105,21007,19502,40509,0,1960
8595,2110,2110,21050,19489,40539,0,1958
8596,2113,2113,21147,19479,40626,0,1954
8597,2115,2115,21211,19467,40678,0,1953
8598,2116,2116,21304,19459,40764,0,1954
8599,2116,2116,8865,19451,28317,0,1957
8600,2115,2115,6582,19446,26028,0,1810
8601,2113,2113,10479,19442,29921,0,1809
8602,2114,2114,10342,19428,29770,0,1811
8603,2116,2116,9958,19405,29363,0,1816
8604,2121,2121,14956,19374,34330,0,1820
8605,2127,2127,14481,19341,33823,0,1822
8606,2139,2139,13876,19307,33184,0,1825
8607,2153,2153,12891,19273,32165,0,1827
8608,2167,2167,13300,19240,32541,0,1827
8609,2182,2182,13192,19212,32404,0,1827
8610,2197,2197,7921,19182,27104,0,1971
8611,2212,2212,6484,19155,25640,0,1972
8612,2226,2226,5089,19127,24216,0,1974
8613,2241,2241,13642,19098,32740,0,1974
8614,2256,2256,15203,19070,34273,0,1974
8615,2269,2269,15239,19041,34280,0,1974
8616,3364,3364,16139,15661,31801,0,1974
8617,3185,3185,16008,16057,32065,0,1975
8618,3147,3147,15965,16202,32168,0,1973
8619,3121,3121,16509,16316,32825,0,1965
8620,3099,3099,17234,16416,33650,0,1957
8621,3078,3078,17588,16512,34100,0,1953
8622,3056,3056,17912,16598,34511,0,1957
8623,3036,3036,7567,16683,24251,0,1964
8624,3015,3015,5733,16763,22496,0,1818
8625,2995,2995,8431,16836,25268,0,1821
8626,2979,2979,8023,16895,24918,0,1822
8627,2966,2966,7903,16941,24844,0,1827
8628,2957,2957,12759,16976,29735,0,1830
8629,2951,2951,12453,17005,29458,0,1831
8630,2948,2948,12509,17026,29536,0,1832
8631,2946,2946,12826,17044,29871,0,1831
8632,2947,2947,13785,17064,30850,0,1831
8633,2949,2949,13431,17084,30516,0,1831
8634,2951,2951,7707,17106,24813,0,1975
8635,2954,2954,5669,17123,22793,0,1979
8636,2957,2957,4373,17137,21510,0,1982
8637,2961,2961,10379,17148,27528,0,1983
8638,2965,2965,12362,17150,29512,0,1984
8639,2968,2968,12842,17155,29998,0,1984
8640,4857,4857,13727,12053,25781,0,1986
8641,4624,4624,13372,12681,26053,0,1989
8642,4549,4549,12896,12926,25823,0,1989
8643,4483,4483,12800,13127,25927,0,1986
8644,4426,4426,13034,13306,26340,0,1977
8645,4371,4371,13796,13471,27268,0,1968
8646,4321,4321,16009,13628,29638,0,1960
8647,4274,4274,7347,13778,21125,0,1957
8648,4227,4227,5812,13923,19735,0,1815
