,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
365,0,17410,0,0
366,0,18430,0,0
367,0,19627,0,0
368,0,21397,0,0
369,0,19282,0,0
370,0,11876,0,0
371,0,8895,0,0
372,0,7257,0,0
373,0,7808,0,0
374,0,9386,0,0
375,0,11949,0,0
376,0,17091,0,0
377,0,21370,0,0
378,0,24482,0,0
379,0,27415,0,0
380,0,29359,0,0
381,0,30453,0,0
382,0,30977,0,0
383,0,30984,0,0
384,0,31203,0,0
385,0,32275,0,0
386,0,33902,0,0
387,0,35116,0,0
388,0,35638,0,0
389,0,35986,0,0
390,0,36116,0,0
391,0,36194,0,0
392,0,36167,0,0
393,0,32814,0,0
394,0,25013,0,0
395,0,24286,0,0
396,0,26484,0,0
397,0,27241,0,0
398,0,28231,0,0
399,0,29438,0,0
400,0,32882,0,0
401,0,35184,0,0
402,0,36098,0,0
403,0,37717,0,0
404,0,39814,0,0
405,0,41083,0,0
406,0,41869,0,0
407,0,41643,0,0
408,0,41331,0,0
409,0,41480,0,0
410,0,41035,0,0
411,0,40571,0,0
412,0,40497,0,0
413,0,40335,0,0
414,0,40298,0,0
415,0,176102,0,0
416,0,70817,0,0
417,0,35638,0,2793
418,0,25877,0,14822
419,0,21156,0,16844
420,0,17445,0,12934
421,0,28327,0,9777
422,0,15590,0,10198
423,0,11153,0,10708
424,0,14204,0,9767
425,0,30794,0,5230
426,0,59425,0,1743
427,0,1318,0,191
428,0,1420,0,12
429,0,3590,0,1
430,0,6979,0,0
431,0,9254,0,0
432,0,10545,0,0
433,0,11368,0,0
434,0,11713,0,0
435,0,12188,0,0
436,0,12743,0,0
437,0,13142,0,0
438,0,13633,0,0
439,0,154302,0,0
440,0,47117,0,4
441,0,18022,0,2807
442,0,11004,0,9092
443,0,7414,0,9643
444,0,5855,0,7323
445,0,12242,0,5851
446,0,6708,0,6869
447,296,5825,0,8131
448,0,7697,0,8020
449,0,18810,0,4421
450,0,48267,0,1617
451,0,1261,0,201
452,0,1408,0,14
453,0,4674,0,1
454,0,7928,0,0
455,0,10211,0,0
456,0,11591,0,0
457,0,13384,0,0
458,0,14911,0,0
459,0,15756,0,0
460,0,16723,0,0
461,0,17928,0,0
462,0,19342,0,0
463,0,157951,0,0
464,0,52407,0,6
465,0,20971,0,4958
466,0,8764,0,16104
467,0,4333,0,16844
468,264,3107,0,12382
469,0,5340,0,9328
470,170,3073,0,10406
471,294,3113,0,12043
472,5,4412,0,11993
473,0,13980,0,6847
474,0,44708,0,2430
475,0,1274,0,289
476,0,1384,0,17
477,0,3903,0,1
478,0,6537,0,0
479,0,8585,0,0
480,0,9899,0,0
481,0,11391,0,0
482,0,12743,0,0
483,0,14153,0,0
484,0,15015,0,0
485,0,14896,0,0
486,0,14581,0,0
487,0,146890,0,0
488,0,43208,0,6
489,0,15638,0,4317
490,0,8643,0,13796
