,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
418,0,25117,0,3530
419,0,23418,0,3816
420,0,18888,0,4329
421,0,17565,0,4325
422,0,15682,0,4026
423,0,19548,0,3427
424,0,21486,0,2754
425,0,17421,0,2425
426,0,17531,0,2147
427,0,17138,0,1933
428,0,12225,0,1972
429,0,13132,0,1987
430,0,13401,0,1972
431,0,14350,0,2018
432,0,17662,0,2048
433,0,17936,0,2002
434,0,17813,0,1956
435,0,17828,0,1956
436,0,17894,0,1972
437,0,17840,0,1956
438,0,17864,0,1972
439,0,17535,0,2033
440,0,15575,0,2048
441,0,14773,0,2008
442,0,16557,0,1980
443,0,16291,0,2021
444,0,10764,0,2311
445,0,10546,0,2571
446,0,10357,0,2652
447,0,15018,0,2432
448,0,17810,0,2113
449,0,13993,0,2006
450,0,14573,0,2023
451,0,15750,0,2208
452,0,15361,0,2598
453,0,16404,0,2843
454,0,16468,0,2843
455,0,17270,0,2843
456,0,20811,0,2919
457,0,21839,0,3057
458,0,22527,0,3179
459,0,22802,0,3225
460,0,23140,0,3302
461,0,23661,0,3409
462,0,24167,0,3500
463,0,24118,0,3577
464,0,25127,0,3653
465,0,19576,0,3620
466,0,13036,0,3549
467,0,6297,0,3971
468,0,4514,0,4188
469,0,3169,0,4123
470,0,2667,0,4107
471,0,4629,0,3855
472,0,14018,0,3383
473,0,15185,0,3169
474,0,17098,0,2972
475,0,17739,0,2821
476,0,12683,0,2782
477,0,13762,0,2767
478,0,14517,0,2858
479,0,15790,0,2935
480,0,19486,0,3026
481,0,20713,0,3164
482,0,21575,0,3286
483,0,22220,0,3393
484,0,22511,0,3424
485,0,22063,0,3302
486,0,21470,0,3164
487,0,20658,0,3087
488,0,18617,0,3118
489,0,17556,0,3100
490,0,18159,0,3007
491,0,15773,0,3092
492,0,12183,0,3734
493,0,13715,0,4358
494,0,13441,0,4268
495,0,18392,0,3734
496,0,21167,0,3328
497,0,17255,0,3122
498,0,17021,0,2856
499,0,16953,0,2670
500,0,15076,0,2705
501,0,15323,0,2782
502,0,15651,0,2858
503,0,16690,0,2904
504,0,20077,0,2935
505,0,21076,0,3072
506,0,21693,0,3164
507,0,22163,0,3256
508,0,22598,0,3332
509,0,22771,0,3347
510,0,23421,0,3470
511,0,23935,0,3684
512,0,22467,0,3852
513,0,19300,0,3763
514,0,15538,0,3642
515,0,10210,0,3718
516,0,5783,0,4160
517,0,8764,0,4453
518,0,11962,0,4410
519,0,17811,0,3879
520,0,21661,0,3561
521,0,18818,0,3565
522,0,19169,0,3387
523,0,19311,0,3193
524,0,16913,0,3103
525,0,16263,0,2950
526,0,15495,0,2767
527,0,15601,0,2598
528,0,18052,0,2430
529,0,17965,0,2323
530,0,17835,0,2277
531,0,17850,0,2277
532,0,18111,0,2339
533,0,18583,0,2446
534,0,19270,0,2598
535,0,18686,0,2828
536,0,18143,0,3026
537,0,17522,0,3038
538,0,15844,0,2929
539,0,14387,0,2761
540,0,9921,0,2639
541,0,5355,0,2583
542,0,6734,0,2551
543,0,11446,0,2537
544,0,15872,0,2566
545,0,15536,0,2663
546,0,15402,0,2812
547,0,15823,0,2889
548,0,15823,0,2981
549,0,16773,0,3195
550,0,17515,0,3347
551,0,18412,0,3347
552,0,22004,0,3409
553,0,23191,0,3577
554,0,23857,0,3684
555,0,23946,0,3684
556,0,23957,0,3684
557,0,24964,0,3913
558,0,25926,0,4081
559,0,25084,0,4264
560,0,26872,0,4310
561,0,22236,0,3989
562,0,15788,0,3926
563,0,15028,0,4518
564,0,13958,0,4366
565,0,12857,0,3957
566,0,16500,0,4073
567,0,20138,0,4413
568,0,24500,0,4566
569,0,25041,0,4673
570,0,25553,0,4710
571,0,25702,0,4692
572,0,21832,0,4723
573,0,23382,0,4708
574,0,23224,0,4601
575,0,23540,0,4417
576,0,26285,0,4249
577,0,27566,0,4448
578,0,28497,0,4585
579,0,28280,0,4524
580,0,28852,0,4647
581,0,28988,0,4616
582,0,28647,0,4509
583,0,28153,0,4509
584,0,28666,0,4448
585,0,26369,0,4649
586,0,24625,0,4794
587,0,15246,0,5248
588,0,10900,0,6124
589,0,8394,0,6492
590,0,7752,0,6528
591,0,17220,0,6210
592,0,25366,0,5412
593,0,24221,0,4966
594,0,25540,0,4550
595,0,26044,0,4300
596,0,21313,0,4509
597,0,23023,0,4540
598,0,23491,0,4585
599,0,24877,0,4647
600,0,28781,0,4738
601,0,29303,0,4738
602,0,29608,0,4784
603,0,30731,0,4998
604,0,30632,0,4922
605,0,30470,0,4876
606,0,31182,0,5013
607,0,31102,0,5075
608,0,28614,0,5028
609,0,24498,0,5003
610,0,20808,0,4893
611,0,12336,0,5034
612,0,6827,0,5856
613,0,5919,0,6336
614,0,7518,0,6248
615,0,13904,0,5628
616,0,23330,0,5133
617,0,24472,0,5219
618,0,26310,0,5135
619,0,27066,0,4934
620,0,26059,0,5211
621,0,27161,0,5457
622,0,27967,0,5548
623,0,29462,0,5655
624,0,33767,0,5778
625,0,34239,0,5747
626,0,33868,0,5625
627,0,33699,0,5579
628,0,33682,0,5610
629,0,33991,0,5686
630,0,34132,0,5655
631,0,33414,0,5564
632,0,33906,0,5487
633,0,30129,0,5382
634,0,28584,0,5431
635,0,23400,0,6344
636,0,16885,0,7034
637,0,17759,0,7330
638,0,20920,0,7722
639,0,28616,0,7532
640,0,33202,0,6686
641,0,30856,0,6137
642,0,31607,0,5606
643,0,31341,0,5149
644,0,24958,0,4983
645,0,26219,0,4906
646,0,26220,0,4845
647,0,27195,0,4830
648,0,30834,0,4799
649,0,30775,0,4662
650,0,30388,0,4540
651,0,30171,0,4478
652,0,30010,0,4417
653,0,30024,0,4402
654,0,30156,0,4417
655,0,29478,0,4356
656,0,26963,0,4295
657,0,24040,0,4339
658,0,17526,0,4381
659,0,10330,0,4551
660,0,5847,0,5109
661,0,4638,0,5442
662,0,4430,0,5365
663,0,7967,0,4931
664,0,20260,0,4542
665,0,21590,0,4465
666,0,23181,0,4269
667,0,23579,0,3990
668,0,21831,0,4035
669,0,22178,0,4081
670,0,21830,0,3989
671,0,22342,0,3898
672,0,25821,0,3882
673,0,27086,0,4050
674,0,28367,0,4280
675,0,29129,0,4417
676,0,29905,0,4570
677,0,30511,0,4677
678,0,30898,0,4738
679,0,30539,0,4754
680,0,28277,0,4784
681,0,25815,0,4770
682,0,26738,0,4777
683,0,25740,0,5048
684,0,21270,0,5874
685,0,21275,0,6387
686,0,20406,0,6146
687,0,25186,0,5325
688,0,27644,0,4613
689,0,24106,0,4368
690,0,24278,0,4101
691,0,23714,0,3668
692,0,20929,0,3515
693,0,21364,0,3668
694,0,21950,0,3806
695,0,23095,0,3852
696,0,26975,0,3959
697,0,28634,0,4219
698,0,29773,0,4433
699,0,30270,0,4524
700,0,30736,0,4662
701,0,31060,0,4754
702,0,31222,0,4799
703,0,30246,0,4983
704,0,29304,0,5151
705,0,26937,0,5180
706,0,22536,0,4882
707,0,23274,0,4727
708,0,22308,0,4739
709,0,21595,0,4601
710,0,20862,0,4534
711,0,22255,0,4509
712,0,26357,0,4510
713,0,26196,0,4520
714,0,25972,0,4601
715,0,26256,0,4631
716,0,25920,0,4647
717,0,26138,0,4677
718,0,26382,0,4723
719,0,27707,0,4799
720,0,31347,0,4799
721,0,31196,0,4662
722,0,31010,0,4601
723,0,31349,0,4662
724,0,31470,0,4677
725,0,31558,0,4677
726,0,31789,0,4723
727,0,30251,0,4738
728,0,31015,0,4708
729,0,26091,0,4662
730,0,20353,0,4588
731,0,17362,0,4967
732,0,17806,0,4569
733,0,19559,0,4081
734,0,22359,0,4168
735,0,24641,0,4497
736,0,27491,0,4550
737,0,26734,0,4422
738,0,26953,0,4419
739,0,27407,0,4494
740,0,23337,0,4494
741,0,24919,0,4478
742,0,25071,0,4463
743,0,25954,0,4433
744,0,29399,0,4387
745,0,29315,0,4326
746,0,29231,0,4249
747,0,28967,0,4173
748,0,28564,0,4081
749,0,28276,0,4005
750,0,28001,0,3928
751,0,27095,0,3821
752,0,27359,0,3729
753,0,24275,0,3661
754,0,24748,0,3575
755,0,22816,0,3882
756,0,18147,0,4499
757,0,17735,0,4818
758,0,16092,0,4934
759,0,20624,0,4643
760,0,24694,0,4039
761,0,22122,0,3651
762,0,22781,0,3324
763,0,22695,0,3074
764,0,17125,0,3057
765,0,18524,0,3072
766,0,18863,0,3103
767,0,20058,0,3164
768,0,23295,0,3118
769,0,23601,0,3088
770,0,23722,0,3088
771,0,23574,0,3026
772,0,23422,0,2981
773,0,23386,0,2981
774,0,23560,0,3042
775,0,23066,0,3042
776,0,20408,0,2965
777,0,19300,0,2974
778,0,21116,0,3002
779,0,20680,0,3202
780,0,14506,0,3808
781,0,11540,0,4154
782,0,12007,0,4064
783,0,18804,0,3657
784,0,21910,0,3207
785,0,18741,0,3061
786,0,20043,0,3111
787,0,21734,0,3332
788,0,20377,0,3500
789,0,20153,0,3454
790,0,19885,0,3393
791,0,20804,0,3408
792,0,23939,0,3347
793,0,24088,0,3286
794,0,24268,0,3302
795,0,24278,0,3302
796,0,24553,0,3347
797,0,25175,0,3470
798,0,25662,0,3577
799,0,25092,0,3561
800,0,25319,0,3485
801,0,21117,0,3316
802,0,20605,0,3283
803,0,20001,0,3794
804,0,15679,0,4094
805,0,14709,0,4118
806,0,13579,0,4055
807,0,18284,0,3677
808,0,21343,0,3131
809,0,18144,0,2823
810,0,18867,0,2579
811,0,18916,0,2426
812,0,13464,0,2385
813,0,14480,0,2354
814,0,14670,0,2339
815,0,15501,0,2323
816,0,18703,0,2323
817,0,19153,0,2323
818,0,19199,0,2308
819,0,19289,0,2323
820,0,19512,0,2369
821,0,19620,0,2384
822,0,19596,0,2369
823,0,18892,0,2339
824,0,16576,0,2308
825,0,15389,0,2293
826,0,16860,0,2273
827,0,16829,0,2477
828,0,11268,0,2959
829,0,9616,0,3124
830,0,7930,0,2946
831,0,10481,0,2476
832,0,14542,0,2080
833,0,12620,0,1959
834,0,13421,0,1826
835,0,13496,0,1716
836,0,11948,0,1712
837,0,11674,0,1651
838,0,11797,0,1712
839,0,12927,0,1880
840,0,16446,0,2063
841,0,17752,0,2247
842,0,18504,0,2384
843,0,19099,0,2507
844,0,19551,0,2598
845,0,19924,0,2675
846,0,20304,0,2751
847,0,19925,0,2782
848,0,17574,0,2766
849,0,15700,0,2751
850,0,16856,0,2961
851,0,16960,0,3535
852,0,11803,0,4619
853,0,12160,0,5568
854,0,13499,0,5956
855,0,20870,0,5626
856,0,25019,0,4899
857,0,21597,0,4382
858,0,21078,0,3833
859,0,20629,0,3451
860,0,18503,0,3454
861,0,18820,0,3561
862,0,18621,0,3470
863,0,19203,0,3408
864,0,24394,0,3882
865,0,25832,0,4050
866,0,25596,0,3928
867,0,25728,0,3913
868,0,24774,0,3653
869,0,24957,0,3760
870,0,26751,0,4188
871,0,25573,0,4249
872,0,22762,0,4035
873,0,17395,0,3882
874,0,10224,0,3916
875,0,6345,0,2871
876,0,7512,0,2409
877,0,11989,0,3607
878,0,9364,0,3385
879,0,7651,0,3103
880,0,13444,0,3189
881,0,16596,0,3258
882,0,17524,0,3363
883,0,18375,0,3470
884,0,17902,0,3409
885,0,17949,0,3409
886,0,17745,0,3332
887,0,17993,0,3164
888,0,21041,0,3088
889,0,21329,0,3057
890,0,22508,0,3332
891,0,23753,0,3577
892,0,24357,0,3684
893,0,25398,0,3882
894,0,26927,0,4264
895,0,26625,0,4524
896,0,27916,0,4601
897,0,25520,0,4647
898,0,24146,0,4714
899,0,24122,0,5441
900,0,24002,0,5238
901,0,20935,0,4715
902,0,20091,0,4608
903,0,23306,0,5067
904,0,27711,0,5312
905,0,27026,0,5052
906,0,27350,0,4985
907,0,27986,0,5075
908,0,24028,0,5090
909,0,25607,0,5075
910,0,25762,0,5029
911,0,26799,0,5013
912,0,30362,0,4983
913,0,30628,0,4922
914,0,30404,0,4830
915,0,30313,0,4815
916,0,30441,0,4845
917,0,30675,0,4922
918,0,31133,0,4952
919,0,30560,0,4937
920,0,31091,0,5029
921,0,25360,0,5132
922,0,17638,0,5120
923,0,9464,0,5664
924,0,6587,0,6408
925,0,5148,0,6581
926,0,5957,0,6718
927,0,11291,0,6588
928,0,23299,0,5799
929,0,23646,0,5219
930,0,26009,0,4960
931,0,27719,0,4919
932,0,22660,0,4983
933,0,23775,0,4891
934,0,24233,0,4998
935,0,25230,0,5090
936,0,29615,0,5212
937,0,30624,0,5319
938,0,30903,0,5319
939,0,30710,0,5182
940,0,30666,0,5105
941,0,30671,0,5136
942,0,31852,0,5441
943,0,32535,0,5732
944,0,29132,0,5532
945,0,26455,0,5250
946,0,28333,0,5311
947,0,26483,0,5710
948,0,18665,0,6708
949,0,17012,0,7394
950,0,12267,0,7337
951,0,16265,0,6139
952,0,22130,0,5216
953,0,24173,0,5225
954,0,26955,0,5090
955,0,28070,0,4904
956,0,25850,0,4861
957,0,25839,0,4891
958,0,26162,0,4952
959,0,26871,0,4845
960,0,30424,0,4815
961,0,31185,0,4891
962,0,32275,0,5075
963,0,33155,0,5212
964,0,33426,0,5243
965,0,34623,0,5533
966,0,35205,0,5610
967,0,33935,0,5395
968,0,33838,0,5396
969,0,29695,0,5153
970,0,30076,0,5260
971,0,24420,0,6316
972,0,11522,0,6954
973,0,8011,0,6930
974,0,7140,0,6665
975,0,12645,0,6162
976,0,23313,0,5425
977,0,24405,0,5093
978,0,28198,0,5013
979,0,30622,0,5152
980,0,25582,0,5243
981,0,26301,0,4983
982,0,26970,0,5090
983,0,29663,0,5472
984,0,34095,0,5625
985,0,34705,0,5655
986,0,34774,0,5655
987,0,34907,0,5655
988,0,34180,0,5472
989,0,33261,0,5243
990,0,33151,0,5212
991,0,32805,0,5243
992,0,28792,0,5120
993,0,20492,0,5082
994,0,13425,0,5005
995,0,8035,0,5139
996,0,5764,0,6016
997,0,5051,0,6632
998,0,5103,0,6645
999,0,8855,0,6005
1000,0,19954,0,5339
1001,0,23179,0,5410
1002,0,26178,0,5288
1003,0,26565,0,4828
1004,0,25519,0,5043
1005,0,27017,0,5350
1006,0,28078,0,5487
1007,0,29404,0,5564
1008,0,34326,0,5900
1009,0,35405,0,6083
1010,0,35797,0,6175
1011,0,36606,0,6236
1012,0,36707,0,6251
1013,0,36836,0,6358
1014,0,37626,0,6496
1015,0,39145,0,6848
1016,0,37286,0,7353
1017,0,26529,0,7285
1018,0,16308,0,6890
1019,0,9211,0,6926
1020,0,6743,0,7741
1021,0,5661,0,8193
1022,0,4738,0,7664
1023,0,5071,0,6617
1024,0,13021,0,6002
1025,0,20857,0,6034
1026,0,26331,0,6000
1027,0,28788,0,5795
1028,0,27842,0,5946
1029,0,28735,0,6037
1030,0,30033,0,6236
1031,0,31891,0,6389
1032,0,35909,0,6557
1033,0,37186,0,6786
1034,0,38042,0,6832
1035,0,38973,0,6970
1036,0,40170,0,7169
1037,0,40438,0,7291
1038,0,40227,0,7306
1039,0,39331,0,7474
1040,0,36529,0,7551
1041,0,24406,0,7200
1042,0,15005,0,6833
1043,0,8616,0,6503
1044,0,4139,0,6136
1045,0,3400,0,5610
1046,0,5067,0,5352
1047,0,7676,0,5179
1048,0,14005,0,5204
1049,0,20676,0,5332
1050,0,23857,0,5426
1051,0,26401,0,5686
1052,0,27324,0,5854
1053,0,28118,0,5946
1054,0,28837,0,6053
1055,0,30557,0,6129
1056,0,35134,0,6374
1057,0,35724,0,6450
1058,0,36193,0,6465
1059,0,36898,0,6634
1060,0,38043,0,6786
1061,0,38608,0,6893
1062,0,38940,0,6985
1063,0,37764,0,6970
1064,0,36109,0,6817
1065,0,24081,0,6526
1066,0,12782,0,6152
1067,0,4301,0,6204
1068,47,2274,0,5036
1069,167,1561,0,4086
1070,6,1382,0,3833
1071,0,4937,0,4365
1072,0,15350,0,4916
1073,0,20250,0,4943
1074,0,22831,0,4910
1075,0,23558,0,4754
1076,0,19775,0,4631
1077,0,21375,0,4570
1078,0,22581,0,4815
1079,0,24727,0,5044
1080,0,28537,0,5013
1081,0,29095,0,4952
1082,0,29159,0,4876
1083,0,29092,0,4815
1084,0,29109,0,4769
1085,0,29098,0,4723
1086,0,29202,0,4708
1087,0,28864,0,4708
1088,0,29296,0,4692
1089,0,26067,0,4658
1090,0,26722,0,4706
1091,0,25465,0,5369
1092,0,21126,0,6295
1093,0,20520,0,6666
1094,0,19757,0,6784
1095,0,24871,0,6345
1096,0,28502,0,5569
1097,0,26056,0,5099
1098,0,27198,0,4682
1099,0,27507,0,4390
1100,0,21842,0,4371
1101,0,23507,0,4371
1102,0,23728,0,4356
1103,0,24847,0,4356
1104,0,28220,0,4264
1105,0,27906,0,4081
1106,0,27655,0,3989
1107,0,27672,0,3974
1108,0,27644,0,3943
1109,0,27406,0,3867
1110,0,26908,0,3729
1111,0,25842,0,3592
1112,0,22874,0,3469
1113,0,19973,0,3294
1114,0,13273,0,3143
1115,0,6839,0,3124
1116,0,3631,0,3556
1117,0,2703,0,3969
1118,0,2157,0,4043
1119,0,2676,0,3757
1120,0,9601,0,3421
1121,0,14078,0,3446
1122,0,18229,0,3449
1123,0,19409,0,3237
1124,0,17727,0,3210
1125,0,17601,0,3149
1126,0,17501,0,3103
1127,0,18576,0,3164
1128,0,22197,0,3210
1129,0,22804,0,3225
1130,0,23289,0,3286
1131,0,23522,0,3302
1132,0,23680,0,3317
1133,0,26198,0,3943
1134,0,29496,0,4631
1135,0,29480,0,4677
1136,0,29270,0,4616
1137,0,24665,0,4447
1138,0,23991,0,4509
1139,0,22926,0,5739
1140,0,17920,0,6711
1141,0,12241,0,6737
1142,0,7556,0,6568
1143,0,14926,0,6368
1144,0,24992,0,5745
